Question,Énoncé,A,B,C,D,E,Réponse,Image,Thème
130,"Un robinet remplit une baignoire en 15 minutes. Un autre robinet d’un débit plus élevé la remplit en 10 minutes, combien faudra-t-il de temps aux deux robinets ouverts simultanément pour remplir la baignoire ?",7 minutes,8 minutes,5 minutes,6 minutes,11 minutes,D,,
131,"Si l’aire totale du triangle rectangle isocèle est de 90 cm2, quelle est l’aire de la partie grisée ?",30 cm2,40 cm2,45 cm2,50 cm2,60 cm2,B,,
132,"Au centre commercial, Émilie constate que le rapport entre le prix d’un paquet de café et celui d’un paquet de thé est de 8/5. Elle constate également que le paquet de thé coûte 1,5 € de moins que le paquet de café. Quel est le prix du paquet de café ?",3€,"3,50€",4€,"4,50€",5€,C,,
133,"Quelle est la surface de la zone noire dessinée dans ce carré ? (Image avec dimensions 15cm, 15cm, 13cm, 13cm)",36 cm2,46 cm2,56 cm2,66 cm2,76 cm2,C,,
134,"Dans une entreprise, la directrice du personnel constate que si on installe 8 employés par open space, 2 open spaces resteront vides. En revanche, si on installe 7 employés par open space, 5 employés n’auront pas de place. Combien de salariés cette entreprise compte-t-elle ?",147,152,157,162,167,B,,
135,"Agnès participe à un tournoi d’échecs de 8 joueurs. Sûre de sa force, elle sait qu’elle va battre tous les autres sauf Tim qui est imbattable. Sachant qu’on tire au sort les paires qui se rencontrent au premier tour, qu’on tire de nouveau au sort, parmi les vainqueurs du premier tour, les paires qui se rencontrent au second tour et que les vainqueurs du second tour jouent la finale, quelle est la probabilité qu’Agnès arrive en finale ?",2/3,3/5,5/9,4/7,6/11,D,,
136,Nathalie colorie le drapeau à trois bandes ci-dessous. Elle veut que chaque bande soit d’une seule couleur et que deux bandes adjacentes ne soient pas de couleurs identiques. De combien de manières peut-elle le faire si elle dispose de quatre couleurs ?,24,28,30,36,48,D,,
137,"Dans une classe, 80% des élèves apprennent le portugais et 40% apprennent le chinois. Combien d’élèves au maximum apprennent les deux langues (le portugais et le chinois) ?",20 %,30 %,40 %,50 %,60 %,C,,
138,La somme de 3 cubes consécutifs est égale à 216. Quelle est la valeur du plus petit cube ?,1,8,27,64,216,C,,
139,Quel est le tiers du double du triple du quintuple de la moitié de 1500 ?,4 500,6 000,7 500,9000,10 500,C,,
140,Une somme de 500 € est placée à 10 % d’intérêts pendant 2 ans d’affilée. De quelle somme dispose-t-on finalement ?,585€,595€,605€,615€,635€,C,,
141,Un couple a 3 enfants. Quelle est la probabilité qu’il ait une fille en premier et une fille en troisième ?,1/8,2/8,3/8,4/8,5/8,A,,
142,"Quel est le PPCM (Le plus petit commun multiple) de 9, 15 et 8 ?",220,260,340,360,400,D,,
143,Combien vaut 4⁸+4⁸+4⁸+4⁸ ?,4⁹,4¹⁰,4¹¹,4¹²,4³²,A,,
144,"Sachant que la longueur du rectangle est de 6 centimètres et que sa largeur est de 3 centimètres, quelle est la valeur de la surface grisée représentée par 2 triangles rectangles tangents ?","3,5 cm²",4 cm²,"4,5 cm²",5 cm²,"5,5 cm²",C,,
145,"De combien de façons un groupe de 10 étudiants peut-il désigner un Bureau comprenant un(e) Délégué(e) principal(e), un(e) Délégué(e) secondaire et un(e) Délégué(e) remplaçant(e) ?",1000,810,729,720,30,D,,
146,"Que vaut la somme des 2 diagonales d’un carré de côté de X, en fonction de X ?",X × 2¹⁄₂,X × 2²⁄₂,X × 2³⁄₂,X × 2⁴⁄₂,X × 2⁵⁄₂,C,,
147,"Dans une entreprise d’accessoires sportifs, la production de l’année N a été de 30 % inférieure à celle de l’année N-1. En revanche, la production de l’année N+1 a été de 20 % supérieure à celle de l’année N. Quel pourcentage de la production de N+1 a été réalisé en N-1 ?",74 %,79 %,84 %,89 %,94 %,C,,
148,"Dans une population donnée, un pourcentage fixe et entier des personnes meurt chaque année tandis qu’un nombre fixe et entier de personnes naissent chaque année. Il y avait 90 000 personnes en 2021, 86 000 personnes en 2022 et 82 400 en 2023. Quel est le nombre de naissances chaque année ?",3 500,3 900,4 500,4 900,5 000,E,,
149,Un rectangle est inscrit dans un cercle de rayon 5 cm. Que vaut la surface de ce rectangle ?,12 cm2,18 cm2,24 cm2,48 cm2,Plusieurs réponses possibles,E,,
150,"Soit un test comportant X questions, Sébastien répond juste à la moitié des 50 premières questions. Puis il répond correctement à un quart des questions restantes. Ce test ne comporte pas de points négatifs. Si son score final est égal à 30 % de la note maximale, combien de questions ce test comporte-t-il ?",150 questions,175 questions,200 questions,225 questions,250 questions,E,,
151,"Soit, dans la figure ci-dessous, un segment de 12 cm de longueur. Les points A et B divisent le segment en 3 segments de longueur égale. Les points C, D et E divisent le segment en 4 segments de longueur égale. Quelle est la longueur du segment AD (en cm) ?",1 cm,2 cm,3 cm,4 cm,5 cm,B,,
152,"Paolo dispose d’un dé truqué qui est tel que la probabilité pour que le dé fasse ""3"" est égale à 0,5. Les autres faces sont équiprobables. Pour gagner, Paolo doit faire deux ""1"" successifs. Quelle est la probabilité que Paolo gagne ?",1 %,2 %,3 %,4 %,5 %,A,,
153,Constance dessine un triangle rectangle à l’aide d’une équerre et elle constate que : - Le périmètre d’un triangle rectangle est égal à 24 cm - La somme des carrés des trois côtés du triangle est égale à 200. Quelle est la valeur de la surface de ce triangle rectangle ?,20 cm²,24 cm²,28 cm²,32 cm²,48 cm²,B,,
154,"Dans une entreprise, la somme des salaires annuels du directeur général et de la directrice financière dépasse de 110 000 euros le salaire annuel de la directrice administrative, alors que la somme du salaire de la directrice administrative et de la directrice financière dépasse de 50 000 euros celui du directeur général. Quel est le salaire annuel de la directrice financière ?",65 000 euros,70 000 euros,75 000 euros,80 000 euros,85 000 euros,D,,
155,"Un amphithéâtre est composé de 90 personnes : des blonds, des bruns et des roux. Les bruns sont 2 fois plus nombreux que les roux. Si tous les roux se teignaient les cheveux en brun, les bruns seraient alors 2 fois plus nombreux que les blonds. Combien de personnes ont les cheveux roux ?",15,20,25,30,35,B,,
156,Soit A et B deux entiers tels que : A × B = 84 et A – B = 5. Quelle est la valeur de A + B ?,17,18,19,20,21,C,,
157,"Deux trains T1 et T2 circulent en direction opposée. Le train T1 fait le trajet du point A vers le point B à la vitesse de 100 km/h tandis que le train T2 fait le trajet du point B vers le point A à la vitesse de 150 km/h. Les points A et B sont séparés de 1100 kilomètres. Sachant que le train T1 part 1 heure avant le train T2, à quelle distance de A les deux trains vont-ils se croiser ?",350 km,400 km,450 km,500 km,550 km,D,,
158,Matteo part en voyage. Il dépense 1/5 de ses économies pour l’avion et les 3/4 du reste pour le logement. Quelle part de ses économies lui reste-t-il une fois les dépenses liées à l’avion et au logement réalisées ?,15 %,20 %,25 %,30 %,35 %,B,,
159,Quelle est la surface du demi-cercle gris tangent au triangle rectangle comme indiqué dans la figure ci-dessous (échelle non respectée) ?,3/4 π,5/4 π,7/4 π,9/4 π,11/4 π,D,,
160,"Un certain nombre d’étudiants se cotisent pour faire un cadeau à leur professeur qui part à la retraite. Chaque étudiant doit payer 250€ mais si 3 ne cotisent pas, chacun devra payer 15€ de plus. Combien d’étudiants y a t-il ?",49,50,53,55,57,C,,
161,"Un couple a 3 enfants. La probabilité d’avoir une fille ou un garçon est la même à savoir 0,5. Quelle est la probabilité d’avoir au moins 2 filles ?",1/2,1/3,1/4,5/8,6/16,A,,
162,Un maître d’école dispose sur une table 108 bonbons et 135 chocolats. Combien de sachets de sucreries peut-il concocter au maximum ?,9,12,15,18,27,E,,
163,Si je roule à 20 km/h j’arrive à 17h00. Mais si je roule 15 km/h j’arrive à 19h00. A combien dois-je rouler pour arriver à 15h00 ?,"22,5 km/h",25 km/h,30 km/h,35 km/h,40 km/h,C,,
164,"Sachant que AB et CD sont parallèles, quelle est la valeur de α ?",95°,100°,105°,110°,115°,C,,
165,Soient 2 carrés représentés comme ci-dessous. Le périmètre du grand carré est le double de celui du petit carré. Que vaut l’aire grise en proportion de l’aire blanche ?,1/2,1/3,1/4,1/5,1/8,B,,
166,"Le semestre précédent, Pierre-Alexandre a réalisé 10 % du chiffre d’affaires de son entreprise. Ce semestre, Pierre-Alexandre a réalisé 40 % du chiffre d’affaires de son entreprise. Sachant que ce semestre, le chiffre d’affaires de l’entreprise est 50 % supérieur au semestre précédent, quelle part des ventes est réalisée par Pierre-Alexandre sur l’année ?",26 %,28 %,30 %,32 %,34 %,B,,
167,"Dans un magasin, le produit A augmente de 10 % deux années de suite tandis que le produit B, de même prix initial, diminue de 10 % deux années de suite. Sachant que leur écart est désormais de 40 euros, quelle est la valeur initiale des produits ?",80 euros,85 euros,90 euros,95 euros,100 euros,E,,
168,"Un cinéma propose deux abonnements : Abonnement A : 47 euros de frais fixes puis 1,2 euro par film. Abonnement B : 25 euros de frais fixes plus 1,7 euro par film. À partir de combien de films l'abonnement A devient-il plus rentable que l'abonnement B ?",27 films,32 films,36 films,40 films,44 films,E,,
169,"Combien de nombres différents à 3 chiffres, qui ne sont pas multiples de 5, peut-on former ?",999,900,810,720,630,D,,
170,Soit ABC un triangle. Soit I est le milieu de BC. Quel est le rapport de l’aire de la partie noire par rapport au triangle ABC ?,1/2,1/3,4/7,5/9,6/10,A,,
171,Soit 2 nombres à 3 chiffres dont la somme des chiffres est égale à 5. Quel est l’écart maximal entre ces nombres ?,495,441,396,360,90,C,,
172,Combien de nombres de 3 chiffres peut-on former uniquement en utilisant des chiffres qui sont des nombres premiers inférieurs à 9 ?,16,27,64,81,125,C,,
173,Combien de matchs l’organisateur d’un championnat regroupant 20 équipes qui s‘affrontent chacune 2 fois doit-il prévoir d’organiser ?,190,270,380,570,760,C,,
174,"On considère une population de 4000 sportifs de haut niveau, amateurs ou professionnels. Parmi eux, 60 % sont des femmes, dont la moitié sont des professionnelles. On apprend par ailleurs que 40 % des hommes sont des professionnels. En sélectionnant une personne de ce groupe au hasard, quelle est la probabilité de tomber sur un(e) sportif professionnel(le) ?",40 %,42 %,44 %,46 %,48 %,D,,
175,On lance 3 fois un dé non truqué. Quelle est la probabilité d’obtenir au moins 1 chiffre pair ?,3/8,4/8,5/8,6/8,7/8,E,,
176,"Il y a 10 ans, Pierre avait le double de l’âge de Jacques. Dans 5 ans, l’âge de Pierre ne sera plus que moitié supérieur à l’âge de Jacques. Quelle est la différence actuelle entre les âges de Pierre et de Jacques ?",5 ans,10 ans,15 ans,20 ans,25 ans,C,,
177,"Un produit subit une augmentation d’un certain pourcentage. Si l’augmentation avait été supérieure de 2 %, le produit aurait augmenté de 15 € de plus. Quelle est la valeur initiale de ce produit ?",500€,550€,600€,650€,750€,E,,
178,"Soit un cercle de centre O. A, B, C et D appartiennent au cercle. Quelle est la valeur de l’angle BOC ? (Voir image associée dans le document)",α+β,α+2β,2α+2β,2α–β,Il manque des informations.,D,,
179,"La somme des âges de Alban, Bastien et Chris est égale à 101 ans. Alban a 10 ans de plus que Bernard et Bernard a 14 ans de plus que Chris. Quel est l'âge d’Alban ?",35 ans,38 ans,40 ans,42 ans,45 ans,E,,
180,"Soit un test comportant X questions, Sébastien répond juste à la moitié des 50 premières questions. Puis il répond correctement à un quart des questions restantes. Ce test ne comporte pas de points négatifs. Si son score final est égal à 30 % de la note maximale, combien de questions ce test comporte-t-il ?",150 questions,175 questions,200 questions,225 questions,250 questions,E,,
181,"Arnaud dispose d'un capital de 80 000 €. Il investit une partie de ce capital sur un compte rémunéré à 1,5 % annuels et le reste sur une assurance-vie rémunérée à 4 % annuels. Les intérêts acquis au bout d'un an s'élèvent à 2 400 €. Quelle proportion du capital a été placée sur l'assurance-vie ?",45 %,50 %,55 %,60 %,65 %,D,,
182,Combien de nombres à 4 chiffres dont la somme est égale à 3 existe-t-il ?,Moins de 5,Entre 5 et 8,Entre 8 et 12,Entre 12 et 15,Plus de 15,C,,
183,Un vendeur de café augmente le prix de son unique produit de 20 % mais son chiffre d’affaires n’augmente que de 8 %. De combien de % son nombre de cafés vendus a-t-il diminué ?,5 %,10 %,15 %,20 %,25 %,B,,
184,Une voiture roule pendant 100 000 km avec 5 roues (4 roues et la roue de secours). Chacune des roues a été utilisée autant. Combien de kilomètres chaque roue a-t-elle roulé ?,20 000 km,40 000 km,80 000 km,90 000 km,10 000 km,C,,
185,Un produit augmente de 10 % trois années de suite. De combien de % le produit a-t-il augmenté au total ?,30 %,"31,3 %","32,1 %","33,1 %","34,3 %",D,,
186,Une école de commerce décide d’accorder une baisse de 10 % sur ses frais de scolarité à 20% de ses élèves. De combien cette mesure diminue-t-elle son chiffre d’affaires ?,"0,2 %",1 %,"1,5 %",2 %,10 %,D,,
187,Combien vaut X sachant que : 4X+4X=8X ?,"0,5",1,"1,5",2,3,B,,
188,La « carte » ci-dessous montre une région où 16 villes sont reliées par des routes. Des centrales vont être construites dans certaines villes. Une centrale fournira la ville où elle est implantée et les villes voisines (c’est-à-dire directement reliées par un seul tronçon de route). Quel est le nombre minimum de centrales à construire pour desservir toutes les villes ?,3,4,5,6,7,B,,
189,"Rosie va en vélo du point A au D. Entre le point A et le point B, elle parcourt 6 kilomètres à 10 km/h ; entre le point B et le point C, elle parcourt 10 kilomètres à 10 km/h et enfin, entre le point C et le point D, elle parcourt 2 kilomètres à 5 km/h. Quelle est sa vitesse moyenne ?",7 km/h,"7,5 km/h",8 km/h,"8,5 km/h",9 km/h,E,,
190,Nouvelles,,,,,,,,
191,"Soit 2 nombres A et B à 3 chiffres dont la somme des chiffres est égale à 5. Sachant que les 3 chiffres qui composent A sont différents entre eux et que les 3 chiffres qui composent B sont différents entre eux, quel est l’écart maximal entre A et B?",495,441,396,306,90,D,,
192,X et Y sont deux entiers positifs tels que X – Y = 5 et X * Y = 84. Quelle est la valeur de X + Y ?,17,18,19,20,21,C,,
193,"Soit un rectangle BCDE, sa diagonale, et trois segments sécants des milieux de ses côtés. Quelle est l’expression de l’aire de A en proportion de l’aire du rectangle BCDE ?",1/3,1/4,4/7,3/8,Il manque des informations,B,,
194,Quelle est la valeur de (99! - 98!) / (99! + 98!) ?,97 %,"97,5 %",98 %,"98,5 %",99 %,C,,
195,"Dans une forêt, on coupe chaque année un pourcentage fixe et entier des arbres, et on plante un nombre fixe d’arbres. Il y avait 150 000 arbres l’année N, 155 000 l’année N+1 et 159 500 l’année N+2. Quel est le nombre d’arbres plantés chaque année ?",4 000,5 000,10 000,15 000,20 000,E,,
196,"3 robinets remplissent une piscine en respectivement 3 heures, 3 heures 20 minutes et 5 heures, tandis qu’une vanne vide la piscine en 6 heures. Combien de temps faudrait-il pour remplir la piscine si on ouvrait les 3 robinets et la vanne ?",1h20,1h30,1h40,1h50,2h00,B,,
197,"Dans une entreprise, 3 services (Achats, Business et Clients) comptent 120 employés au total. Les services Achats et Business comptent 77 employés alors que les services Business et Clients comptent 94 employés. Combien y a-t-il d’employés dans le service Business ?",49,50,51,52,53,C,,
198,"Dans une cour d’école, il y a 2 fois plus de filles que de garçons et Pierre, qui joue dans la cour, constate que parmi les camarades qu’il observe autour de lui, il y a 11 filles de plus que de garçons. Combien y-a-t-il de filles dans ce groupe ?",12,24,36,48,60,B,,
199,2 sœurs disposent de 3 robes et 2 paires de souliers. Combien de tenues (robes + paire de souliers) différentes peuvent-elles peuvent porter simultanément ?,6,9,12,15,18,C,,
200,"Dans le rectangle ci-dessous, de largeur 5 cm et de longueur 10 cm, quelle est l’aire de la partie grisée ? (Image non incluse)","2,5 cm2",5 cm2,"7,5 cm2",10 cm2,"12,5 cm2",A,,
201,"Au cours du semestre, j’ai obtenu 5 notes pour une moyenne de 11/20. Si on enlève ma pire note, ma moyenne passe 12/20. Si on enlève ma meilleure note, ma moyenne tombe à 10/20. Quel est l’écart entre ma meilleure note et ma pire note ?",5,6,7,8,9,D,,
202,"Pour aller à la pharmacie, je roule à 40 km/h en moyenne. Pour en revenir, je roule à 60 km/h en moyenne. Quelle est ma vitesse moyenne sur le trajet aller-retour ?",52 km/h,50 km/h,48 km/h,46 km/h,44 km/h,C,,
203,"Dans la figure ci-dessous, les 2 cercles blancs sont identiques et tangent au grand cercle. Que vaut l’aire grise en proportion de l’aire totale ? (Image non incluse)",2/5,1/2,3/5,4/7,4/9,B,,
204,Que vaut la somme de A et B sachant que la somme du triple de A et du double de B vaut 80 et que la somme du double de A et de B vaut 49 ?,13,18,20,31,38,D,,
205,"Un club de foot souhaite créer un fanion pour son équipe comme le montre la figure ci-dessous. Sachant que le modèle de fanion comporte 4 parties distinctes et qu’ils vont utiliser 3 couleurs différentes, et que deux couleurs identiques ne peuvent pas se toucher, combien de combinaisons de fanion sont possibles ? (Image non incluse)",6,12,18,24,36,B,,
206,"Salomé et Solène ont passé 2 épreuves et ont obtenu la même moyenne. A la première épreuve (coefficient 5), Salomé a eu 12/20 et Solène a eu 8/20. Quel est le coefficient de la deuxième épreuve sachant que Solène a eu 13/20 à la deuxième épreuve ?",3,4,5,6,Il manque des informations,E,,
207,De combien de dalles carrées de 25 cm de côté a-t-on besoin pour recouvrir entièrement une pelouse carrée de 25 m2 ?,400,600,800,1200,1600,A,,
208,"Pour subvenir aux besoins d’une excursion, un groupe de randonneur a prévu 15 jours de vivres. Sur leur route, ils croisent 6 randonneurs qui sont à court de vivres. Après leur avoir donné une quantité de vivre proportionnelle à leur nombre, il ne reste plus que 10 jours de vivres au groupe. De combien de personnes est composé le premier groupe de randonneurs ?",6,8,12,18,30,C,,
209,2 produits valent ensemble 171 €. Un des deux vaut 10% de moins que l’autre. Quel est le prix du produit le moins cher ?,81,90,99,108,117,A,,
210,Soit un triangle équilatéral ABC. [BI] et [CJ] sont les hauteurs respectives de [CA] et [AB]. O est le point d’intersections des hauteurs. Quel est le pourcentage de l’aire ABOI par rapport au triangle ABC ?,1/6,1/5,1/4,1/3,1/2,E,,
211,Que vaut la différence entre le plus petit nombre multiple de 13 à 3 chiffres et le plus petit nombre premier à 3 chiffres ?,29,3,7,9,11,B,,
212,On construit un rectangle qui relie les milieux des côtés d'un losange comme le montre la figure ci-dessous. Que représente l'aire grise en proportion de l'aire blanche ?,La même aire,Le tiers,Le quart,La moitié,Le cinquième,A,,
213,"Chez un disquaire, un vinyle coûte 20 euros et un disque coûte 10 euros. Sachant que les vinyles sont actuellement soldés à -10% et les disques à -40%. De quelle remise Noémie a-t-elle bénéficié en achetant un disque et un vinyle ?",25 %,20 %,15 %,10 %,5 %,B,,
214,"Un match de squash se remporte en 2 sets gagnants. Sachant que John a 60% de chances de remporter un set et que Steve a 40 % de chances d'en remporter un, quelle est la probabilité que Steve gagne le match ?","25,8 %","35,2 %","36,4 %","37,9 %","38,9 %",B,,
215,"Des acheteurs de voitures ont le choix entre 5 modèles, chacun étant disponible en 3 coloris. En sus, l'acheteur peut décider d'ajouter les options : GPS, sièges chauffants et rétroviseurs électriques. Combien de possibilités existe-t-il pour choisir cette voiture ?",24,60,120,180,240,C,,
216,"Dans la figure ci-dessous représentant un carré de côté 12 cm et 4 quarts de cercle identiques, quelle est l'aire de la partie grisée ?",144 - 18π,144 - 27π,144 - 36π,144 - 45π,144 - 54π,C,,
217,On dispose de 153 roses et de 117 tulipes. Combien de bouquets peut-on concter au maximum pour que chaque bouquet ait le même nombre de tulipes et que chaque bouquet ait le même nombre de roses ?,7,8,9,10,Aucune de ces réponses.,C,,
218,Je donne une certaine somme à mon boucher. Il me propose soit de me donner en contrepartie 5 steaks hachés et 15 euros soit de me donner 3 steaks hachés et 29 euros. Quel est le prix d'un steak haché ?,6 euros,7 euros,9 euros,10 euros,11 euros,B,,
219,Compléter cette suite : 1 - 1 - 2 - 3 - 5 - 8 - 13 - 21 - 34 - ???,39 euros,44 euros,49 euros,55 euros,60 euros,D,,
220,Quel est le rapport entre la surface d'un cercle circonscrit et celle d'un cercle inscrit à un même carré ?,1,"1,5",2,"2,5",3,C,,
221,Combien existe-t-il de nombres à 3 chiffres composés de 3 chiffres différents ?,1000,999,720,648,512,D,,
222,Une société place un quart de sa trésorerie à 6% et le reste à 5%. Quel est son taux moyen de placement ?,"5,15 %","5,25 %","5,35 %","5,45 %","5,55 %",B,,
223,Sur la figure sont représentés deux hexagones réguliers. Le plus petit hexagone a un côté égal au cinquième du côté du grand hexagone. Quel est le rapport de la surface grise et la surface totale ?,1/5,1/10,1/15,1/20,1/25,E,,
224,"Deux personnes P₁ et P₂ partent de la même ville dans la même direction à des vitesses différentes. P₁ part à 8h00 avec une vitesse de 100 km/h et B part à 9h15 à une vitesse de 125 km/h, à quelle heure B va-t-elle rattraper A.",10h15,11h15,12h15,13h15,14h15,E,,
225,"Dans une nacelle on peut mettre soit 16 adultes, soit 20 enfants. Combien peut-on mettre au maximum d'enfants avec 12 adultes ?",3,4,5,8,10,C,,
226,"Lors d'un concert, 6 personnes (3 garçons et 3 filles) s'assoient sur une rangée de 6 sièges. Combien de configurations existe-t-il pour avoir alternativement un garçon et une fille ?",36,48,60,72,Aucune de ces réponses,D,,
227,"Une famille est composée de 7 membres. La moyenne des âges de la famille est de 20 ans. Sans les parents, la moyenne tombe à 12 ans. Sachant que le père a 2 ans de plus que la mère, quel est l'âge du père ?",38 ans,39 ans,40 ans,41 ans,Aucune de ces réponses,D,,
228,"Dans le trapèze isocèle suivant, les deux bases sont respectivement égales à 6 et 10. Quelle est la valeur de la partie noire ?",1/2,2/3,3/4,5/8,6/10,D,,
229,"Un peintre doit colorer une fresque similaire à celle-ci-dessous avec 4 couleurs (1 par zone) : Rouge, Noir, Vert, Blanc. Sachant qu'il faut que le vert soit placé avant le noir (c'est-à-dire plus à gauche), de combien de façons peut-il peindre sa fresque ?",6 façons,8 façons,10 façons,12 façons,14 façons,D,,
230,Une urne contient des boules numérotées de 1 à X. On constate que la probabilité qu'une boule tirée au hasard soit paire ou multiple de 3 est égale à 2/3. Laquelle des valeurs proposées ne peut pas correspondre à X ?,18,20,24,30,36,B,,
231,"Dans le trapèze isocèle suivant, les deux bases sont respectivement égales à 1 unité et 2 unités. Quelle est la valeur de la partie noire ?",1/2,2/3,3/4,5/8,6/10,B,,
232,2 amis disposent de 3 chemises et 2 pantalons. Combien de tenues différentes peuvent-ils peuvent mettre (simultanément) ?,6,12,15,18,36,B,,
233,"70% des retraités ont des lunettes. 60% des retraités sont des femmes, dont 70% qui ont des lunettes. Quel est le pourcentage des femmes parmi ceux qui portent des lunettes ?",50 %,55 %,60 %,65 %,70 %,C,,
234,"Dans cette figure représentant 3 cercles identiques et un triangle ayant pour sommet les centres des cercles, que vaut l'aire grise en proportion de l'aire blanche ?",√3/3π,3√3/π,√3/4,√3/π³,Aucune des réponses proposées,A,,
235,"Un article a subi une augmentation de 2 euros. Si l'augmentation avait été supérieure de 3 points de pourcentage, il aurait augmenté de 6 euros de plus. Quel est le pourcentage d'augmentation ?","0,5 %","0,75 %",1 %,"1,25 %","1,5 %",C,,
236,"On dispose d'un certain nombre de dés, dont 25% sont pipés (ils donnent 6 avec une probabilité égale à 1/2). Sachant qu'on a obtenu un 6 après un lancer, quelle est la probabilité que ce soit un dé pipé qui ait été lancé ?",1/2,1/4,2/3,3/4,4/5,A,,
237,"Complétez cette suite : 2, 10, 4, 11, 8, 13, 16, 26, 32, ?",88,96,22,54,67,A,,
238,"Une personne achète des pochettes pour ordinateur pour un total de 80 euros. Si elle en avait acheté 4 de plus, en payant chaque pochette 1 euro de moins, elle aurait dépensé la même somme totale. Combien de livres a-t-elle acheté initialement ?",8 pochettes,16 pochettes,36 pochettes,40 pochettes,Plusieurs réponses sont possibles,E,,
239,Une allée en forme de rectangle a des dimensions de 165 mètres par 210 mètres. Quelle est la surface maximale que peuvent prendre des parts carrées ?,154 m²,165 m²,225 m²,275 m²,330 m²,C,,
240,"Une horloge possède trois aiguilles distinctes. La première complète un tour en 20 secondes, la deuxième en 30 secondes, et la troisième en 50 secondes. Combien de tours la deuxième aiguille aura-t-elle effectué lorsque les trois aiguilles auront complété un tour ensemble pour la première fois?",5 tours,6 tours,8 tours,10 tours,12 tours,D,,
241,"7 équipes s'affrontent dans un tournoi. Si chaque équipe s'affronte exactement une fois avec chaque autre équipe, combien de matchs seront disputés au total ?",14 matchs,21 matchs,28 matchs,35 matchs,42 matchs,B,,
242,"Dans cette figure représentant un carré et un octogone régulier, que vaut l'aire blanche en proportion de l'aire grisée ?",2/7,2/8,2/9,2/10,2/11,A,,
243,"Un comité de 3 représentants doit être choisi parmi 7 familles (A, B, C, D, E, F, G). Chaque famille est représentée par au maximum une personne. La famille F refuse de participer au comité si la famille G est représentée. Combien y a-t-il de combinaisons pour le comité ?",25,30,35,45,50,B,,
244,"Pour subvenir aux besoins d'une excursion, un groupe de randonneur a prévu 15 jours de vivres. Sur leur route, ils croisent 6 randonneurs qui sont à court de vivres. Après leur avoir donné une quantité de vivre proportionnelle à leur nombre, il ne reste plus que 10 jours de vivres au groupe. De combien de personnes est composé le premier groupe de randonneurs ?",Il manque des informations,6,8,12,18,D,,
245,"Deux robinets remplissent une cuve de 140 litres. Le 1er robinet remplit la cuve à raison de 15 litres par minute. Pour remplir la cuve, le second a besoin de trois minutes de plus que lorsque les deux robinets sont ouverts en même temps. Quel est le débit du 2ème robinet ?",20 litres par minute,19 litres par minute,18 litres par minute,17 litres par minute,16 litres par minute,A,,
246,Sur la figure est représenté un triangle équilatéral ainsi que ses cercles circonscrit et inscrit. Quel est le rapport entre la surface du cercle inscrit et celle du cercle circonscrit ?,1/2,1/3,1/4,1/5,1/6,C,,
247,"Sachant que les 4 cercles de rayon 2 centimètres sont inscrits dans le grand carré, que vaut le périmètre de la figure noircie ?",3 × π,4 × π,5 × π,6 × π,7 × π,B,,
248,Que vaut la somme des chiffres de 100^89^ + 10^76^?,0,1,2,5,10,C,,
249,"Si 10 chevaux mangent 100 kilogrammes de granulés en 20 jours, combien de chevaux peut-on nourrir pendant 10 jours si on dispose de 200 kilogrammes de granulés ?",10,20,30,40,50,D,,
250,"Dans cette figure composée de 3 carrés, que vaut l'aire noire en proportion de l'aire blanche ?",1/2,1/3,2/3,3/4,4/9,D,,
251,On dispose de 153 tulipes et 117 roses. On souhaite composer des bouquets avec autant de tulipes et de roses. Combien chaque bouquet contiendra-t-il de fleurs ?,9,13,17,30,36,A,,
252,"Un joueur lance des paniers au basketball. S'il réussit son premier panier, la probabilité qu'il rate le suivant est de 0,4. S'il rate son premier panier, la probabilité qu'il rate le suivant est de 0,7. Sachant que la probabilité qu'il réussisse son premier panier est de 0,6, quelle est la probabilité qu'il rate son deuxième lancer ?",48 %,50 %,52 %,54 %,56 %,C,,
253,"3 nombres a, b et c suivent une suite géométrique croissante. Sachant que c'est un cube parfait, que vaut (b - a) ?",On ne peut pas répondre,a,a + c,a × c,a × (a - 1),A,,
254,"2 nombres A et B sont tels que : A + B = 138 et que si on ajoute 6 à A et à B, A représente les deux tiers de B. Que vaut B - A ?",20,25,30,35,40,C,,
255,"Il y a 3 sujets A, B, C. Chacun des élèves X, Y et Z reçoit un sujet ? Quelle est la probabilité que 3 élèves aient 3 sujets différents ?",1/9,2/9,3/9,4/9,5/9,B,,
256,"Lors d'une compétition de patinage artistique, les juges notent un couple de danseurs.. Sachant qu'un juge ne peut attribuer que des notes entières, et que la moyenne des notes distribuées est 8,125, quel est le nombre minimum de juges ?",16,14,12,10,8,E,,
257,Quel est le rapport de la surface d'un hexagone régulier inscrit dans ce cercle sur celle du cercle ?,3√3 / π,3√3 / 2π,√3 / 2π,√3 / π,√2 / 3π,B,,
258,"On dispose de trois cartes : - Une avec une face bleue et l'autre noire, - Une avec deux faces noires, - Une avec deux faces bleues. Si une carte est tirée au hasard et qu'elle montre une face bleue, quelle est la probabilité que l'autre face soit également bleue ?",1/4,1/3,1/2,2/3,3/4,D,,
